FIPS,City,Year,Population,Primary.Point,Date,MSA,microMSA
1965055,Pulaski,July 01 2013,265,POINT (-92.2737906 40.6928807),7/1/13,,
1901540,Alta Vista,July 01 2006,265,POINT (-92.4170267 43.1967709),7/1/06,,
1916815,Coulter,July 01 2017,265,POINT (-93.3700471 42.73312),7/1/17,,
1975405,Stockport,July 01 1993,265,POINT (-91.8333604 40.8572858),7/1/93,,
1965055,Pulaski,July 01 2007,265,POINT (-92.2737906 40.6928807),7/1/07,,
1917130,Crawfordsville,July 01 2019,265,POINT (-91.5366275 41.2139194),7/1/19,,
1952995,Modale,July 01 2015,265,POINT (-96.0120201 41.6181928),7/1/15,,
1932610,Greeley,July 01 2005,265,POINT (-91.341545 42.5850578),7/1/05,,
1947010,Low Moor,July 01 2013,265,POINT (-90.3542133 41.8023436),7/1/13,,
1901540,Alta Vista,NA,264.250128,NA,7/1/20,,
1969060,Rowley,April 01 2010,264,POINT (-91.8444965 42.3684882),4/1/10,,
1952995,Modale,July 01 2019,264,POINT (-96.0120201 41.6181928),7/1/19,,
1942825,Lakota,July 01 1998,264,POINT (-94.0963165 43.3786517),7/1/98,,
1948585,Mallard,July 01 2009,264,POINT (-94.6831596 42.9393896),7/1/09,,
1952815,Mingo,July 01 2007,264,POINT (-93.2826185 41.7662068),7/1/07,,
1961770,Parnell,July 01 2019,264,POINT (-92.0045582 41.583661),7/1/19,,
1943050,La Motte,July 01 2002,264,POINT (-90.6234291 42.2957342),7/1/02,,
1917130,Crawfordsville,April 01 2010,264,POINT (-91.5366275 41.2139194),4/1/10,,
1941295,Kimballton,July 01 1997,264,POINT (-95.0748694 41.6271029),7/1/97,,
1944355,Leland,July 01 2003,264,POINT (-93.6350977 43.3318155),7/1/03,,
1940665,Kensett,July 01 2014,264,POINT (-93.2106319 43.3534357),7/1/14,,
1917130,Crawfordsville,July 01 2013,264,POINT (-91.5366275 41.2139194),7/1/13,,
1919450,Dedham,April 01 1990,264,POINT (-94.8232369 41.9087315),4/1/90,,
1919765,Deloit,April 01 2010,264,POINT (-95.3174643 42.0971421),4/1/10,,
1919450,Dedham,July 01 2013,264,POINT (-94.8232369 41.9087315),7/1/13,,
1966450,Renwick,July 01 2016,264,POINT (-93.9813336 42.8269157),7/1/16,,
1966450,Renwick,July 01 2007,264,POINT (-93.9813336 42.8269157),7/1/07,,
1982650,Waucoma,July 01 2011,264,POINT (-92.0341066 43.0554679),7/1/11,,
1943680,Laurel,July 01 2005,264,POINT (-92.922164 41.884062),7/1/05,,
1948585,Mallard,July 01 2017,264,POINT (-94.6831596 42.9393896),7/1/17,,
1975405,Stockport,July 01 1992,264,POINT (-91.8333604 40.8572858),7/1/92,,
1944985,Libertyville,April 01 1990,264,POINT (-92.0501957 40.9582432),4/1/90,,
1950430,Maurice,July 01 1996,264,POINT (-96.1827384 42.9660542),7/1/96,,
1947955,Macedonia,NA,263.4918425,NA,7/1/20,,
1943050,La Motte,NA,263.214467,NA,7/1/20,,
1932475,Granville,July 01 1995,263,POINT (-95.8748315 42.9852282),7/1/95,,
1916815,Coulter,July 01 2019,263,POINT (-93.3700471 42.73312),7/1/19,,
1932610,Greeley,July 01 2006,263,POINT (-91.341545 42.5850578),7/1/06,,
1975405,Stockport,July 01 1991,263,POINT (-91.8333604 40.8572858),7/1/91,,
1919765,Deloit,July 01 2014,263,POINT (-95.3174643 42.0971421),7/1/14,,
1948585,Mallard,July 01 2016,263,POINT (-94.6831596 42.9393896),7/1/16,,
1941610,Kiron,July 01 2004,263,POINT (-95.3272682 42.1941298),7/1/04,,
1912990,Chelsea,July 01 2012,263,POINT (-92.3945142 41.9204989),7/1/12,,
1940665,Kensett,July 01 2009,263,POINT (-93.2106319 43.3534357),7/1/09,,
1965055,Pulaski,July 01 2012,263,POINT (-92.2737906 40.6928807),7/1/12,,
1966450,Renwick,July 01 1998,263,POINT (-93.9813336 42.8269157),7/1/98,,
1984450,West Okoboji,April 01 1990,263,POINT (-95.163113 43.348994),4/1/90,,
1940665,Kensett,July 01 2011,263,POINT (-93.2106319 43.3534357),7/1/11,,
1965055,Pulaski,July 01 2011,263,POINT (-92.2737906 40.6928807),7/1/11,,
1946065,Lockridge,July 01 2005,263,POINT (-91.7492245 40.9936662),7/1/05,,
1932475,Granville,July 01 1993,263,POINT (-95.8748315 42.9852282),7/1/93,,
1919585,Defiance,July 01 2019,263,POINT (-95.3403538 41.8254177),7/1/19,,
1987285,Yale,July 01 2007,263,POINT (-94.3572116 41.7753718),7/1/07,,
1903115,Arthur,July 01 1995,263,POINT (-95.3469405 42.3353614),7/1/95,,
1916815,Coulter,July 01 2018,263,POINT (-93.3700471 42.73312),7/1/18,,
1901540,Alta Vista,July 01 2011,263,POINT (-92.4170267 43.1967709),7/1/11,,
1981570,Wadena,July 01 2011,263,POINT (-91.6594004 42.8397808),7/1/11,,
1966450,Renwick,July 01 2018,263,POINT (-93.9813336 42.8269157),7/1/18,,
1927210,Fenton,July 01 2007,263,POINT (-94.4279672 43.2181569),7/1/07,,
1927210,Fenton,July 01 2013,263,POINT (-94.4279672 43.2181569),7/1/13,,
1973155,Silver City,July 01 2009,263,POINT (-95.6378733 41.1113884),7/1/09,,
1952815,Mingo,July 01 2008,263,POINT (-93.2826185 41.7662068),7/1/08,,
1919450,Dedham,July 01 1998,262,POINT (-94.8232369 41.9087315),7/1/98,,
1940665,Kensett,July 01 2013,262,POINT (-93.2106319 43.3534357),7/1/13,,
1981570,Wadena,April 01 2010,262,POINT (-91.6594004 42.8397808),4/1/10,,
