"","FIPS","City","Year","Population","longitude","latitude","Date","MSA","microMSA"
"5252",1948990,"Manson","July 01 2002",1806,-94.5401543,42.5283851,"7/1/02","",""
"5253",1916500,"Corning","April 01 1990",1806,-94.7395154,40.9929182,"4/1/90","",""
"5254",1953355,"Monroe","July 01 2005",1805,-93.1037482,41.5189365,"7/1/05","",""
"5255",1907390,"Bondurant","July 01 1995",1805,-93.4546681,41.6985333,"7/1/95","",""
"5256",1907390,"Bondurant","July 01 1994",1804,-93.4546681,41.6985333,"7/1/94","",""
"5257",1932790,"Greenfield","July 01 2016",1804,-94.4591514,41.305599,"7/1/16","",""
"5258",1953355,"Monroe","July 01 2003",1804,-93.1037482,41.5189365,"7/1/03","",""
"5259",1948990,"Manson","July 01 1994",1804,-94.5401543,42.5283851,"7/1/94","",""
"5260",1933465,"Guttenberg","July 01 2019",1804,-91.1059046,42.7887133,"7/1/19","",""
"5261",1961590,"Parkersburg","April 01 1990",1804,-92.7787946,42.5740001,"4/1/90","",""
"5262",1937515,"Hull","July 01 1994",1802,-96.1336554,43.1894543,"7/1/94","",""
"5263",1948990,"Manson","July 01 1993",1802,-94.5401543,42.5283851,"7/1/93","",""
"5264",1981840,"Walford",NA,1801.804787,NA,NA,"7/1/20","",""
"5265",1912270,"Center Point","July 01 1993",1801,-91.7794373,42.1843009,"7/1/93","",""
"5266",1954480,"Mount Ayr","July 01 2003",1801,-94.2376587,40.7141372,"7/1/03","",""
"5267",1963975,"Pocahontas","July 01 2006",1801,-94.6661298,42.7371357,"7/1/06","",""
"5268",1937515,"Hull","July 01 1993",1800,-96.1336554,43.1894543,"7/1/93","",""
"5269",1915420,"Columbus Junction","July 01 1995",1799,-91.3650803,41.2787342,"7/1/95","",""
"5270",1918255,"Dallas Center","July 01 2004",1798,-93.9816407,41.6854114,"7/1/04","",""
"5271",1912270,"Center Point","July 01 1992",1797,-91.7794373,42.1843009,"7/1/92","",""
"5272",1954480,"Mount Ayr","April 01 1990",1796,-94.2376587,40.7141372,"4/1/90","",""
"5273",1942465,"Lake City","July 01 2001",1796,-94.7310464,42.2676372,"7/1/01","",""
"5274",1953355,"Monroe","July 01 2006",1795,-93.1037482,41.5189365,"7/1/06","",""
"5275",1915420,"Columbus Junction","July 01 1993",1793,-91.3650803,41.2787342,"7/1/93","",""
"5276",1956325,"New London","July 01 2009",1793,-91.4011156,40.9231717,"7/1/09","",""
"5277",1920035,"Denver","July 01 2013",1791,-92.3346405,42.6688889,"7/1/13","",""
"5278",1952950,"Mitchellville","July 01 1994",1791,-93.3629093,41.6678771,"7/1/94","",""
"5279",1915420,"Columbus Junction","July 01 1994",1790,-91.3650803,41.2787342,"7/1/94","",""
"5280",1954480,"Mount Ayr","July 01 1992",1790,-94.2376587,40.7141372,"7/1/92","",""
"5281",1963975,"Pocahontas","April 01 2010",1789,-94.6661298,42.7371357,"4/1/10","",""
"5282",1978060,"Tiffin","July 01 2008",1789,-91.658392,41.7067521,"7/1/08","",""
"5283",1900190,"Ackley","July 01 2002",1788,-93.0527656,42.5518776,"7/1/02","",""
"5284",1916500,"Corning","July 01 1991",1788,-94.7395154,40.9929182,"7/1/91","",""
