"","CITY.NAME","Year","Fiscal.Effort","Fiscal.Capacity","QOLjobs_i14","QOLmed_i14","QOLk12_i14","QOLhousing_i14","QOLgovt_i14","QOLchildsrv_i14","QOLseniorsrv_i14","Proportion of land dedicated to ag","Number of unique crops grown","Shannon's Diversity Index","Shannon's Evenness Index","Simpson's Diveristy Index, Chance","Simpson's Evenness Index","miles50","min50","miles25","min25","miles10","min10","CITY.SIZE","QoL Average"
"39","FARMINGTON",2016,107.416362035641,53.236844675317,7.6923,48.4375,31.4815,35.2564,46.4286,28.3951,45.1389,0.277324203318409,15,1.18642015837017,0.438108628077606,0.64509777082421,0.187845161811157,82.28,84,46.12,53,30.11,40,"RURAL",34.6900428571429
"40","FONTANELLE",2016,83.6613543944475,80.7279286630771,36.8794,56.1404,73.3333,46.6667,66.6667,52.7778,48.6486,0.892246656348895,12,1.42173257895173,0.572147279284326,0.724886877835447,0.302905701762525,58.97,60,62.44,64,53.47,55,"RURAL",54.4447
"41","FRUITLAND",2016,35.6876508265623,108.284446548557,32.0513,45.4545,73.1481,71.6049,65.4321,50,57.4074,0.578501960384948,15,1.22664218966272,0.452961392356561,0.661899307120329,0.197179917316506,37.53,46,43.27,51,7.93,15,"RURAL PLUS",56.4426142857143
"42","GARNAVILLO",2016,124.8917730466,102.870640114137,33.9506,59.6774,73.3333,57.2327,63.0952,70.2128,58,0.705901538350034,12,1.13481368920484,0.456682623993806,0.597259441689523,0.206915672170993,49,62,77.67,91,74.07,87,"RURAL",59.3574285714286
"43","GEORGE",2016,139.092348541271,86.2477960304866,47.1698,63.1579,77.4194,40.7407,66.6667,54.0541,38.3333,0.908933295391069,13,0.894633401539941,0.348791838301765,0.540642328831543,0.167457912975328,68.54,76,152.17,163,43.6,50,"RURAL PLUS",55.3631285714286
"44","GILBERTVILLE",2016,89.0923810222355,146.787358469989,34.5238,56.6667,52.381,74.4444,69.5402,70.1754,42.8571,0.724647299632679,12,0.999364429658275,0.402173832060667,0.565510468063629,0.191795951819472,9.66,16,17.16,23,30.19,37,"RURAL",57.2269428571429
"45","GLIDDEN",2016,101.98252600268,105.862520956521,39.3162,25.3968,82.9787,59.5238,69.1667,64.6465,40,0.930853535525257,11,0.8924986411255,0.372200842651457,0.524502216551083,0.191187202282421,60.8,68,55.32,66,7.61,11,"RURAL PLUS",54.4326714285714
"46","GOWRIE",2016,125.686788334323,91.8429448724148,40.2516,75.1174,76.1194,49.4792,71.2121,71.2418,61.1111,0.939626438588768,13,0.907049370667367,0.353632467646476,0.541824877950195,0.167890121530246,54.02,62,20.85,30,35.79,45,"RURAL PLUS",63.5046571428571
"47","GRAETTINGER",2016,84.9259548127129,82.1662203899842,54.9383,60.119,76.9697,50.6173,68.4524,67.5439,54.0541,0.841280641194499,12,1.21585134151339,0.48929457435237,0.663804223498125,0.247871446216305,119.5,127,81.22,93,28.98,35,"RURAL PLUS",61.8135285714286
"48","GRAND MOUND",2016,85.3811456651917,115.354556634772,20.9524,57.8947,72.549,52.381,65.2482,52.9412,52.381,0.865552467394113,9,0.888783586861112,0.404502842371543,0.542042718960684,0.242623309447005,25.2,31,27.89,29,54.93,58,"RURAL",53.4782142857143
"49","HAMBURG",2016,118.151299275742,114.57736446275,31.9444,65.4971,50.9804,45.098,63.2653,56.6667,45.977,0.47898686000031,11,1.14263524474332,0.476515908640936,0.623427935285504,0.241412200817432,51.67,50,173.67,157,148.71,142,"RURAL PLUS",51.3469857142857
"50","HARTFORD",2016,90.1516321533028,81.8456127428782,6.6667,19.4444,80.6202,46.5116,51.4493,42.5287,39.6825,0.599749073026471,10,1.23037756181067,0.534346185751953,0.684756144151057,0.317214747074777,16.9,27,25.06,35,13.74,18,"RURAL",40.9862
"51","HARTLEY",2016,107.642092847316,80.578456563271,36.1702,59.3939,70.2899,54.2636,62.7451,53.3333,45.5556,0.914415010148986,10,0.834953258828048,0.362615592956159,0.51371677356818,0.205641475100356,78.54,82,117.88,124,19.62,25,"RURAL PLUS",54.5359428571428
"52","HILLS",2016,65.7617395695981,216.084544013436,42.8571,48.8889,72,62.9032,65,49.4624,49.0196,0.740040767053888,14,1.21660385733966,0.460999404479413,0.664118347524962,0.212659938112814,8.48,16,39.86,45,10.66,14,"RURAL",55.7330285714286
